"","Var1","Freq"
"48","12 PRINCESAS EN PUGNA",274
"184","23 344",25
"187","23 CENTIMETROS",33
"304","31 MINUTOS",22
"325","3 DIAS EN MAYO",69
"350","3 PAREJAS DISPAREJAS",64
"510","666",50
"562","7 MACHOS",105
"563","7 MACHOS STAND UP COMEDY",58
"748","ABISMO",18
"814","ABONO ACUARIO INBURSA LABORATORIO SUB",23
"1078","ACUARIO INBURSA",1006
"1079","ACUARIO INBURSA LABORATORIO SUBMARINO",193
"1095","ADIOS CARLOTA",38
"1100","ADIOS Y BUENA SUERTE",19
"1120","AEROPLANOS",285
"1129","AFRICAM SAFARI",90
"1138","AFUERA RECONSTRUCCION DE UNA OBRA",16
"1178","ALADDIN EL MUSICAL",22
"1183","ALADINO Y LA LAMPARA MARAVILLOSA",25
"1200","A LA ORILLA DEL RIO",74
"1226","ALEJANDRA GUZMAN",17
"1234","ALEJANDRO FERNANDEZ",50
"1285","ALGO DE UN TAL SHAKESPEARE",30
"1290","ALGO SOBRE UNA PAREJA Y UN HIJO",32
"1298","ALICIA ALICIA",16
"1301","ALICIA EN EL PAIS DE LAS MARAVILLAS",18
"1324","ALMACENADOS",67
"1325","AL MAL PASO DARLE RISA",42
"1345","ALWAYS",16
"1358","AMANTES ENEMIGOS ENEMIGOS AMANTES",21
"1365","AMAR Y QUERER",22
"1483","AMOR 25 AÑOS DESPUES",24
"1489","AMORATADOS",324
"1492","AMOR DE MIS AMORES",16
"1494","AMOR EN LA OBRERA",20
"1496","AMORES PARALELOS",27
"1527","ANAMNESIS",33
"1545","ANDRE RIEU",16
"1574","ANGELIQUE",29
"1586","ANIMAS MASCARADA DE ESPECTACULO",16
"1587","ANIMA SOLA",16
"1589","ANITA LA HUERFANITA",54
"1606","ANNIE ANITA LA HUERFANITA",93
"1617","ANTES TE GUSTABA LA LLUVIA",27
"1620","ANTIGONA",36
"1641","APARTE",24
"1650","APLAUSO",61
"1654","APOIDEA BREVE OPERA HEXAGONAL",24
"1666","AQUI ENTRE DOS SOMOS TRES",30
"1669","AQUI Y AHORA",36
"1689","ARGELIA LA HISTORIA DEL CAUTIVO",16
"1724","ARRANCONES NOCTURNOS",23
"1728","ARROJADOS AL MUNDO",31
"1730","ARROZ CONGRI",16
"1732","ARRULLOS PARA BENJAMIN",23
"1767","ASI ES MEXICO VIVO",23
"1776","ASIMOV",37
"1839","ATRAPALO SI PUEDES",23
"1850","A UN ORGASMO DEL DIVORCIO",18
"1858","AUTOBUS",51
"1912","AVENIDA Q",46
"1913","AVENTURA JURASICA",356
"1914","AVENTURA JURASICA DE LUNES A VIERNES",125
