"","lat","lon","lugar"
"1",-99.2255347,19.4663103,"360E VENUE"
"2",-99.8994477,16.8799488,"7 17 ACAPULCO DIAMANTE"
"3",-98.1665724,19.0761071,"ACROPOLIS PUEBLA"
"4",-99.2051257,19.4399445,"ACUARIO INBURSA"
"5",-99.9698446,20.6239856,"AERODROMO ISAAC CASTRO SAHADE"
"6",-98.1368914,18.9372057,"AFRICAM SAFARI"
"7",-99.1644917,19.4249582,"AFROCARIBE"
"8",-99.2760098,19.3606834,"ALBOA SANTA FE"
"9",-100.3641033,25.6280831,"ALPINO CHIPINQUE"
"10",-123.0390101,44.9405316,"AMADEUS"
"11",NA,NA,"ANFITEATRO DE MINA DE RAYAS"
"12",NA,NA,"ANTIGUO PATIO DE RELACIONES INDUSTRIALES"
"13",-100.3220904,25.6864139,"ARENA COLISEO"
"14",-103.3429241,20.6709248,"ARENA COLISEO GUADALAJARA"
"15",-100.3220904,25.6864139,"ARENA COLISEO MONTERREY"
"16",-100.3220904,25.6864139,"ARENA JOSE SULAIMAN"
"17",-99.1520134,19.4245736,"ARENA MEXICO"
"18",-98.1980182,19.038549,"ARENA PUEBLA"
"19",-100.297779,25.6756629,"ARENA SANTA LUCIA"
"20",-99.2838496,18.6142558,"ARENA TEQUES"
"21",-103.2636293,20.4671712,"ARENA VFG"
"22",-99.173646,19.412118,"ARIA CONDESA"
"23",-99.171978,19.412694,"ARTIC BAR"
"24",-99.1707035,19.4084428,"ARTSPACEMEXICO"
"25",-116.937714,32.495388,"AUDIORAMA EL TROMPO"
"26",-103.348478,20.7324095,"AUDITORIO BENITO JUAREZ GUADALAJARA"
"27",-99.1686741,19.4066263,"AUDITORIO BLACKBERRY"
"28",-99.1378368,19.355331,"AUDITORIO BLAS GALINDO"
"29",-99.122097,19.4803437,"AUDITORIO CAMINO DE VIDA"
"30",-100.2808706,25.6775952,"AUDITORIO CITIBANAMEX"
"31",-110.956465,29.0733055,"AUDITORIO CIVICO DEL ESTADO DE HERMOSILLO"
"32",-99.153885,19.407724,"AUDITORIO DE LA ACADEMIA MEXICANA DE CIRUGIA"
"33",-104.8483281,21.4765453,"AUDITORIO DE LA GENTE"
"34",-100.3814607,20.6002858,"AUDITORIO DEL CENTRO UNIVERSITARIO MEXICO"
"35",-100.32571,25.643286,"AUDITORIO DEL EGADE"
"36",-115.4445718,32.6535448,"AUDITORIO DEL ESTADO"
"37",-101.2741935,21.0130076,"AUDITORIO DEL ESTADO DE GUANAJUATO"
"38",-115.4445718,32.6535448,"AUDITORIO DEL ESTADO DE MEXICALI"
"39",-43.3659798,-21.7738842,"AUDITORIO DE MINAS"
"40",-99.181934,19.3355572,"AUDITORIO FRA ANGELICO CENTRO UNIVERSITARIO CULTURAL"
"41",-101.2535395,21.0176334,"AUDITORIO GENERAL DE LA UNIVERSIDAD DE GUANAJUATO"
"42",-98.7745366,20.0920833,"AUDITORIO GOTA DE PLATA"
"43",-96.7310357,17.0687992,"AUDITORIO GUELAGUETZA"
"44",-100.2722962,25.6226881,"AUDITORIO JACALES"
"45",-100.2854429,25.6509256,"AUDITORIO LUIS ELIZONDO"
"46",NA,NA,"AUDITORIO MATEO HERRERA"
"47",-99.1949256,19.4248097,"AUDITORIO NACIONAL"
"48",-100.3166587,25.6655864,"AUDITORIO PABELLON M"
"49",-100.3822505,25.6667219,"AUDITORIO SAN PEDRO"
"50",-99.4939604,17.5290893,"AUDITORIO SENTIMIENTOS DE LA NACION"
"51",-99.154266,19.408175,"AUDITORIO SIGLO XXI"
"52",-103.381293,20.733318,"AUDITORIO TELMEX"
"53",-99.2232296,18.9311382,"AUDITORIO TEOPANZOLCO"
"54",NA,NA,"AULA MAGNA JOSE VASCONCELOS"
"55",-86.8352016,21.1047979,"AUTODROMO DE CANCUN"
"56",-100.219147,25.8603261,"AUTODROMO DE MONTERREY"
"57",-99.0895087,19.4040425,"AUTODROMO HERMANOS RODRIGUEZ"
